Branch,0,1,2,3,4,5,6,7,8,9
Stories - Bir Hasan,0.17554529812269046,0.0,0.06195323129058954,0.05677618055346963,0.16121155900786457,0.0011633039857165213,0.00508796150837752,0.010619595183554017,0.016330940923097333,0.05515687509339974
Stories Ain El Mreisseh,0.09954592994847394,0.04100099646736883,0.07009341150218291,0.027934125960200538,0.12314657293703553,0.011044684075767947,0.013585680810696806,0.0015508398605922234,0.12050013947130579,0.061819243273169996
Stories Airport,0.11858940951304965,0.06429232078499802,0.20869614162891675,0.04224885130457527,0.1340883653798929,0.0,0.011054664900060114,0.0,0.004884641557747162,0.0
Stories Antelias,0.19724275133608118,0.010928466889324561,0.0,0.08851952166826095,0.0,0.04743109894906836,0.009880650201264761,0.0,0.10714030469822466,0.006043047958246532
Stories Batroun,0.08682211885188493,0.11218625968524194,0.024478362041712574,0.07253941033538565,0.1198618486719545,0.04662179028511889,0.0045178926593135195,0.0,0.03727684785922342,0.030664418808071837
Stories Bayada,0.059652634906892855,0.07173186360731075,0.011447096072360042,0.022544262024660564,0.12135858590921607,0.04467509361241653,0.0,0.0560063013550074,0.21505398384341448,0.026206533221301093
Stories Centro Mall,0.131649080699583,0.09567617354295731,0.15276685521041033,0.00035752593413751433,0.04833922367044211,0.004237656963462023,0.00907073070558633,0.0,0.15289437499358913,0.0034453224608223874
Stories Event Starco,0.015139392885069141,0.549945516244669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008644884026127701
Stories Faqra,0.24616692967218862,0.014648103698578283,0.007349313984868049,0.0,0.23875974685227547,0.009378147082099783,0.0,0.0,0.16459789400974018,0.005551724540215683
Stories Khaldeh,0.1575982267101207,0.0014055587743199832,0.0995186327716669,0.05561824644608104,0.15063055177444284,0.0,0.012923585826995723,0.0,0.0,0.05287968241538806
Stories LAU,0.21283959381536663,0.0,0.030074574948157774,0.09818662476590598,0.0819120945579866,0.0,0.0027326805747471894,0.0012767631002431527,0.13670168193719598,0.02165493537899858
Stories Le Mall,0.11684725019606906,0.04519419099439494,0.015587767680828767,0.03747240755568931,0.03578545021213835,0.03576093036852676,0.005564748198053153,0.0330150490385799,0.3090471224921037,0.0
Stories Mansourieh,0.12121773596846777,0.0004244175273612543,0.021730980455443135,0.07036156363920897,0.11749093536407067,0.03543593804081475,0.00633646106497558,0.05823203026505143,0.17480838705800023,0.0
Stories Ramlet El Bayda,0.11967487359940918,0.0651430654669897,0.038974936494621,0.0,0.20786752086888236,0.004698970417882657,0.0,0.10869873762218783,0.05276078699839779,0.018483918311465463
Stories Saida,0.14389125610263526,0.011287741838862764,0.078380126355783,0.03405606666354155,0.0533727672928458,0.0,0.008547013194719873,0.01334798140518952,0.20450107407643575,0.04741048040953662
Stories Sour 2,0.16795605612040457,0.0,0.14502016791511418,0.036421510268574576,0.09864458691644942,0.012924547305649391,0.004404555097447903,0.008501036917117394,0.11761915125663674,0.0
Stories Verdun,0.30737020853241775,0.010053996387286598,0.06818446953301974,0.0,0.041861183824622894,0.0028528921648344153,0.007030412199335795,0.0,0.09040063576814705,0.00376297468759276
Stories Zalka,0.03675363427312402,0.07735229205540943,0.0,0.0685996363326949,0.14420828255494939,0.02275412065756394,0.0,0.03604316641529211,0.20904746784680828,0.05353647531374062
Stories alay,0.10152569748301256,0.06836877660770406,0.12936208478331424,0.032370794646319076,0.06102671985709717,0.029676211893148438,0.01299518390768121,0.002411231650247752,0.09734719999331767,0.016784044915252053
Stories amioun,0.08799235413748828,0.154770785661506,0.01773939732634432,0.0755166318830857,0.0,0.019352286894392896,0.014475168363183442,0.0756954820590526,0.0,0.0
Stories jbeil,0.047988064628696335,0.10903462629107653,0.005574246495288524,0.13625107075658086,0.10755071712112904,0.04098732201466696,0.010304195925835449,0.0,0.048237936717826634,0.0
Stories kaslik,0.12248563758694793,0.08202334129038996,0.002964573508949174,0.1034460519985828,0.046955442505074094,0.045255753218168944,0.01689072737393461,0.006494296045989133,0.0,0.0
Stories raouche,0.1598812699283063,0.16376847942245487,0.03587762351835695,0.0,0.0,0.014861823942158939,0.024907217569313918,0.0,0.027837731413849074,0.002206431403493897
Stories sin el fil,0.114204631067048,0.08736346861840298,0.0,0.009829055835790483,0.08398855133086494,0.008323372769642422,0.004169757080373485,0.16404841277209412,0.06514071406082471,0.007888945360115349
Stories.,0.15671071971549316,0.0,0.14724856942618786,0.0,0.0,0.0,0.0,0.0,0.263817633930116,0.05850777779396242
