Branch,0,1,2,3
Stories - Bir Hasan,0.16732143715445644,0.11810272140951072,0.08547176527774905,0.07106876131632947
Stories Ain El Mreisseh,0.14117068165528782,0.171660413910459,0.0841383037195345,0.05255125596656509
Stories Airport,0.14053650925851746,0.08051148085373946,0.22694981280675958,0.027401444322253613
Stories Antelias,0.26143861119018913,0.07384424141306521,0.0006636762548818417,0.07046321687196247
Stories Batroun,0.14790851954371673,0.17369637320877845,0.04339886814412855,0.09181224700631123
Stories Bayada,0.18847187596900747,0.09706057480902576,0.021162898338992667,0.09987423475115459
Stories Centro Mall,0.19127422807836275,0.08932160128932433,0.16476975776565544,0.0
Stories Event Starco,0.041279075012565655,0.4579220647051692,0.03298634903210066,0.0008636557611961161
Stories Faqra,0.2793596568509362,0.06691035758403517,0.057888801720455935,0.03552067039967212
Stories Khaldeh,0.14084259318090056,0.14356970567935162,0.11931089597528334,0.057659178865054735
Stories LAU,0.2935534724588576,0.013040524402913036,0.03955177510717562,0.06341397486423095
Stories Le Mall,0.28481102525901114,0.0264357035179212,0.01313280777909756,0.06209948428837154
Stories Mansourieh,0.2408619914681157,0.029008902407411954,0.024362565675640768,0.10835684377501183
Stories Ramlet El Bayda,0.12507740678678156,0.13738232060574973,0.06453260102872692,0.10442088320532215
Stories Saida,0.22398852122547339,0.07108996825657656,0.08043444806806915,0.03901674509966172
Stories Sour 2,0.22874577716124747,0.0,0.15853518030410715,0.03507729354680667
Stories Verdun,0.2680473540609611,0.0817729593790015,0.09358777270949531,0.0
Stories Zalka,0.1889866663394369,0.10204838848520238,0.006335989077952766,0.11100056509446021
Stories alay,0.15798117558061575,0.12326270070812757,0.13682240559291675,0.04058198736518953
Stories amioun,0.11370572873677703,0.21343914920555465,0.009487983338188262,0.09389874816766813
Stories jbeil,0.17162373226185307,0.11904562038916626,0.00942972810122361,0.11090141768054529
Stories kaslik,0.16213020034644646,0.17099370319990423,0.006682333598967571,0.08853941010420077
Stories raouche,0.11680561730633796,0.29409158292368304,0.05128964871671117,0.0
Stories sin el fil,0.12210829134145473,0.16214743830576064,0.0,0.12565998640503362
Stories.,0.25076058556711484,0.008123231730560615,0.14726390367411496,0.0032279236497147895
